name,method,porosity,n_particles,smooth_sigma,porosity_target,seed,shape,tif_path
ellipsoid_001,ellipsoid,0.980769157409668,20.0,,,0,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_001_bin.tif
ellipsoid_002,ellipsoid,0.9768939018249512,26.0,,,1,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_002_bin.tif
ellipsoid_003,ellipsoid,0.9714460372924805,33.0,,,2,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_003_bin.tif
ellipsoid_004,ellipsoid,0.9658584594726562,40.0,,,3,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_004_bin.tif
ellipsoid_005,ellipsoid,0.9539313316345215,47.0,,,4,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_005_bin.tif
ellipsoid_006,ellipsoid,0.9573988914489746,54.0,,,5,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_006_bin.tif
ellipsoid_007,ellipsoid,0.9474859237670898,61.0,,,6,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_007_bin.tif
ellipsoid_008,ellipsoid,0.9428601264953613,68.0,,,7,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_008_bin.tif
ellipsoid_009,ellipsoid,0.9380350112915039,74.0,,,8,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_009_bin.tif
ellipsoid_010,ellipsoid,0.9318432807922363,81.0,,,9,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_010_bin.tif
ellipsoid_011,ellipsoid,0.9277019500732422,88.0,,,10,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_011_bin.tif
ellipsoid_012,ellipsoid,0.9246368408203125,95.0,,,11,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_012_bin.tif
ellipsoid_013,ellipsoid,0.9181199073791504,102.0,,,12,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_013_bin.tif
ellipsoid_014,ellipsoid,0.9121270179748535,109.0,,,13,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_014_bin.tif
ellipsoid_015,ellipsoid,0.9095230102539062,116.0,,,14,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_015_bin.tif
ellipsoid_016,ellipsoid,0.8919591903686523,123.0,,,15,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_016_bin.tif
ellipsoid_017,ellipsoid,0.8946132659912109,129.0,,,16,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_017_bin.tif
ellipsoid_018,ellipsoid,0.8940925598144531,136.0,,,17,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_018_bin.tif
ellipsoid_019,ellipsoid,0.8845515251159668,143.0,,,18,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_019_bin.tif
ellipsoid_020,ellipsoid,0.8760318756103516,150.0,,,19,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_020_bin.tif
ellipsoid_021,ellipsoid,0.8816800117492676,157.0,,,20,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_021_bin.tif
ellipsoid_022,ellipsoid,0.8730659484863281,164.0,,,21,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_022_bin.tif
ellipsoid_023,ellipsoid,0.8686747550964355,171.0,,,22,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_023_bin.tif
ellipsoid_024,ellipsoid,0.8643560409545898,177.0,,,23,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_024_bin.tif
ellipsoid_025,ellipsoid,0.8654861450195312,184.0,,,24,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_025_bin.tif
ellipsoid_026,ellipsoid,0.8472614288330078,191.0,,,25,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_026_bin.tif
ellipsoid_027,ellipsoid,0.8464717864990234,198.0,,,26,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_027_bin.tif
ellipsoid_028,ellipsoid,0.836552619934082,205.0,,,27,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_028_bin.tif
ellipsoid_029,ellipsoid,0.8339781761169434,212.0,,,28,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_029_bin.tif
ellipsoid_030,ellipsoid,0.8413405418395996,219.0,,,29,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_030_bin.tif
ellipsoid_031,ellipsoid,0.8239517211914062,226.0,,,30,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_031_bin.tif
ellipsoid_032,ellipsoid,0.8211193084716797,232.0,,,31,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_032_bin.tif
ellipsoid_033,ellipsoid,0.8200783729553223,239.0,,,32,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_033_bin.tif
ellipsoid_034,ellipsoid,0.8321285247802734,246.0,,,33,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_034_bin.tif
ellipsoid_035,ellipsoid,0.8083734512329102,253.0,,,34,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_035_bin.tif
ellipsoid_036,ellipsoid,0.8149623870849609,260.0,,,35,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_036_bin.tif
ellipsoid_037,ellipsoid,0.8108315467834473,267.0,,,36,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_037_bin.tif
ellipsoid_038,ellipsoid,0.7965073585510254,274.0,,,37,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_038_bin.tif
ellipsoid_039,ellipsoid,0.8002572059631348,281.0,,,38,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_039_bin.tif
ellipsoid_040,ellipsoid,0.7970209121704102,287.0,,,39,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_040_bin.tif
ellipsoid_041,ellipsoid,0.801633358001709,294.0,,,40,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_041_bin.tif
ellipsoid_042,ellipsoid,0.7813868522644043,301.0,,,41,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_042_bin.tif
ellipsoid_043,ellipsoid,0.7823047637939453,308.0,,,42,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_043_bin.tif
ellipsoid_044,ellipsoid,0.7827377319335938,315.0,,,43,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_044_bin.tif
ellipsoid_045,ellipsoid,0.7812809944152832,322.0,,,44,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_045_bin.tif
ellipsoid_046,ellipsoid,0.7780542373657227,329.0,,,45,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_046_bin.tif
ellipsoid_047,ellipsoid,0.7733983993530273,335.0,,,46,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_047_bin.tif
ellipsoid_048,ellipsoid,0.7595510482788086,342.0,,,47,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_048_bin.tif
ellipsoid_049,ellipsoid,0.7671008110046387,349.0,,,48,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_049_bin.tif
ellipsoid_050,ellipsoid,0.7591981887817383,356.0,,,49,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_050_bin.tif
ellipsoid_051,ellipsoid,0.7598466873168945,363.0,,,50,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_051_bin.tif
ellipsoid_052,ellipsoid,0.7580037117004395,370.0,,,51,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_052_bin.tif
ellipsoid_053,ellipsoid,0.7511100769042969,377.0,,,52,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_053_bin.tif
ellipsoid_054,ellipsoid,0.7476482391357422,384.0,,,53,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_054_bin.tif
ellipsoid_055,ellipsoid,0.7513060569763184,390.0,,,54,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_055_bin.tif
ellipsoid_056,ellipsoid,0.7341938018798828,397.0,,,55,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_056_bin.tif
ellipsoid_057,ellipsoid,0.7299976348876953,404.0,,,56,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_057_bin.tif
ellipsoid_058,ellipsoid,0.739708423614502,411.0,,,57,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_058_bin.tif
ellipsoid_059,ellipsoid,0.7211318016052246,418.0,,,58,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_059_bin.tif
ellipsoid_060,ellipsoid,0.7195138931274414,425.0,,,59,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_060_bin.tif
ellipsoid_061,ellipsoid,0.7338929176330566,432.0,,,60,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_061_bin.tif
ellipsoid_062,ellipsoid,0.7156038284301758,438.0,,,61,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_062_bin.tif
ellipsoid_063,ellipsoid,0.7147912979125977,445.0,,,62,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_063_bin.tif
ellipsoid_064,ellipsoid,0.7205920219421387,452.0,,,63,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_064_bin.tif
ellipsoid_065,ellipsoid,0.7104320526123047,459.0,,,64,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_065_bin.tif
ellipsoid_066,ellipsoid,0.7107772827148438,466.0,,,65,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_066_bin.tif
ellipsoid_067,ellipsoid,0.691014289855957,473.0,,,66,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_067_bin.tif
ellipsoid_068,ellipsoid,0.6950721740722656,480.0,,,67,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_068_bin.tif
ellipsoid_069,ellipsoid,0.7012066841125488,487.0,,,68,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_069_bin.tif
ellipsoid_070,ellipsoid,0.6945452690124512,493.0,,,69,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_070_bin.tif
ellipsoid_071,ellipsoid,0.7000842094421387,500.0,,,70,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_071_bin.tif
ellipsoid_072,ellipsoid,0.6957950592041016,507.0,,,71,"(128, 128, 128)",runs/synthetic_library_200/ellipsoid_072_bin.tif
